devicetime,latitude,longitude,ac_lat,angle_volante,yaw_rate,rpm,score,anomaly,anomaly_data
2022-12-04 00:36:48.000,"-2,255,536","-687,958,833",-0.05,0.15,0.0,1354.0,"7,694,694,443",0,No
2022-12-04 00:36:49.000,"-225,551,183","-687,958,833",-0.24,0.09,0.0,1351.0,"7,552,192,304",0,No
2022-12-04 00:36:50.000,"-225,548,883","-68,795,865",-0.39,0.15,0.0,1355.0,"8,465,345,214",0,No
2022-12-04 00:36:51.000,"-2,255,465","-687,958,333",0.02,0.18,0.01,1358.0,"7,904,928,679",0,No
2022-12-04 00:36:51.000,"-2,255,465","-687,958,333",0.26,0.06,0.0,1361.0,"8,250,415,489",0,No
2022-12-04 00:36:52.000,"-225,544,133","-687,958,183",0.32,0.0,0.0,1365.0,"8,191,352,586",0,No
2022-12-04 00:36:53.000,"-225,541,816","-687,957,916",-0.83,-0.1,0.0,1361.0,"15,457,371,062",0,No
2022-12-04 00:36:54.000,"-225,539,466","-687,957,783",-0.39,0.04,0.0,1369.0,"8,465,345,214",0,No
2022-12-04 00:36:55.000,"-225,536,966","-687,957,633",0.48,0.13,0.0,1358.0,"10,076,798,002",0,No
2022-12-04 00:36:56.000,"-2,255,344","-68,795,735",0.1,0.2,0.01,1360.0,"7,764,736,227",0,No
